timestamp_utc,monotonic_s,raw_frame,weight_g,stable,status
2026-09-11T14:09:25.139303+00:00,303.02,S S       11.5 g,11.500,1,ok
2026-09-11T14:09:28.066618+00:00,305.95,S S       11.0 g,11.000,1,ok
2026-09-11T14:09:31.106100+00:00,308.99,S S       11.5 g,11.500,1,ok
2026-09-11T14:09:34.144733+00:00,312.03,S S       11.0 g,11.000,1,ok
2026-09-11T14:09:37.072410+00:00,314.95,S S       11.0 g,11.000,1,ok
2026-09-11T14:09:40.095394+00:00,317.98,S S       10.5 g,10.500,1,ok
2026-09-11T14:09:43.118797+00:00,321.00,S S       11.0 g,11.000,1,ok
2026-09-11T14:09:46.141801+00:00,324.02,S S       11.0 g,11.000,1,ok
2026-09-11T14:09:49.069069+00:00,326.95,S S       11.0 g,11.000,1,ok
2026-09-11T14:09:52.076259+00:00,329.96,S S       11.5 g,11.500,1,ok
